Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Inside Out 2,"$1,690,686,629","$652,959,820",38.6%,"$1,037,726,809",61.4%
2,Deadpool & Wolverine,"$1,326,871,326","$632,129,100",47.6%,"$694,742,226",52.4%
3,Despicable Me 4,"$954,079,642","$360,850,560",37.8%,"$593,229,082",62.2%
4,Dune: Part Two,"$714,444,358","$282,144,358",39.5%,"$432,300,000",60.5%
5,Godzilla x Kong: The New Empire,"$571,750,016","$196,350,016",34.3%,"$375,400,000",65.7%
6,Kung Fu Panda 4,"$549,205,628","$193,590,620",35.2%,"$355,615,008",64.8%
7,Bad Boys: Ride or Die,"$404,207,562","$193,573,217",47.9%,"$210,634,345",52.1%
8,Kingdom of the Planet of the Apes,"$397,378,150","$171,130,165",43.1%,"$226,247,985",56.9%
9,Beetlejuice Beetlejuice,"$377,841,468","$254,041,468",67.2%,"$123,800,000",32.8%
10,Twisters,"$370,810,045","$267,610,045",72.2%,"$103,200,000",27.8%
11,Alien: Romulus,"$347,749,101","$104,840,180",30.1%,"$242,908,921",69.9%
12,It Ends with Us,"$341,300,867","$148,123,039",43.4%,"$193,177,828",56.6%
13,A Quiet Place: Day One,"$261,523,954","$138,930,553",53.1%,"$122,593,401",46.9%
14,The Garfield Movie,"$233,248,071","$91,956,547",39.4%,"$141,291,524",60.6%
15,Ghostbusters: Frozen Empire,"$201,856,657","$113,376,590",56.2%,"$88,480,067",43.8%
16,IF,"$190,309,707","$111,149,917",58.4%,"$79,159,790",41.6%
17,The Fall Guy,"$181,064,590","$92,900,355",51.3%,"$88,164,235",48.7%
18,Bob Marley: One Love,"$180,828,556","$96,893,170",53.6%,"$83,935,386",46.4%
19,Furiosa: A Mad Max Saga,"$173,775,791","$67,475,791",38.8%,"$106,300,000",61.2%
20,The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%
21,Civil War,"$122,607,219","$68,603,430",56%,"$54,003,789",44%
22,Longlegs,"$108,896,045","$74,045,655",68%,"$34,850,390",32%
23,Detective Conan: The Million-Dollar Pentagram,"$108,246,512",-,-,"$108,246,512",100%
24,Mean Girls,"$104,793,431","$72,404,248",69.1%,"$32,389,183",30.9%
25,Madame Web,"$100,498,764","$43,817,106",43.6%,"$56,681,658",56.4%
26,Haikyu!! The Dumpster Battle,"$100,405,572","$7,071,622",7%,"$93,333,950",93%
27,Exhuma,"$97,990,652","$2,310,900",2.4%,"$95,679,752",97.6%
28,Argylle,"$96,221,061","$45,207,275",47%,"$51,013,786",53%
29,Challengers,"$96,019,408","$50,119,408",52.2%,"$45,900,000",47.8%
30,A Little Something Extra,"$86,139,553",-,-,"$86,139,553",100%
31,The Roundup: Punishment,"$83,703,350","$1,154,475",1.4%,"$82,548,875",98.6%
32,Trap,"$82,666,006","$42,766,006",51.7%,"$39,900,000",48.3%
33,Transformers One,"$73,960,849","$41,160,849",55.7%,"$32,800,000",44.3%
34,The Count of Monte-Cristo,"$72,080,200",-,-,"$72,080,200",100%
35,The Wild Robot,"$61,328,838","$43,032,240",70.2%,"$18,296,598",29.8%
36,Speak No Evil,"$59,018,305","$29,463,305",49.9%,"$29,555,000",50.1%
37,Night Swim,"$54,768,317","$32,494,740",59.3%,"$22,273,577",40.7%
38,Kingdom 4: Return of the Great General,"$54,099,198",-,-,"$54,099,198",100%
39,The First Omen,"$53,845,880","$20,092,802",37.3%,"$33,753,078",62.7%
40,Coraline 15th Anniversary,"$52,371,887","$33,626,425",64.2%,"$18,745,462",35.8%
41,Back to Black,"$50,884,438","$6,157,705",12.1%,"$44,726,733",87.9%
42,Tarot,"$49,150,070","$18,771,004",38.2%,"$30,379,066",61.8%
43,The Strangers: Chapter 1,"$47,803,285","$35,202,562",73.6%,"$12,600,723",26.4%
44,"I, the Executioner","$47,088,755",-,-,"$47,088,755",100%
45,Blink Twice,"$46,383,483","$23,083,483",49.8%,"$23,300,000",50.2%
46,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,354,825","$17,657,658",39.8%,"$26,697,167",60.2%
47,Imaginary,"$43,781,680","$28,009,161",64%,"$15,772,519",36%
48,Abigail,"$42,749,739","$25,867,515",60.5%,"$16,882,224",39.5%
49,Fly Me to the Moon,"$42,147,722","$20,532,222",48.7%,"$21,615,500",51.3%
50,Arthur the King,"$40,829,349","$25,049,006",61.4%,"$15,780,343",38.6%
51,Horizon: An American Saga - Chapter 1,"$38,235,702","$29,035,702",75.9%,"$9,200,000",24.1%
52,The Bikeriders,"$35,963,113","$21,714,630",60.4%,"$14,248,483",39.6%
53,Monkey Man,"$35,269,106","$25,116,955",71.2%,"$10,152,151",28.8%
54,Last Mile,"$34,065,158",-,-,"$34,065,158",100%
55,Doraemon the Movie: Nobita's Earth Symphony,"$33,399,912",-,-,"$33,399,912",100%
56,The Watchers,"$33,271,404","$19,071,404",57.3%,"$14,200,000",42.7%
57,Pilot,"$32,765,447",-,-,"$32,765,447",100%
58,Borderlands,"$32,587,338","$15,482,668",47.5%,"$17,104,670",52.5%
59,Mobile Suit Gundam SEED Freedom,"$32,125,992",-,-,"$32,125,992",100%
60,A Strange House,"$30,864,331",-,-,"$30,864,331",100%
61,The Forge,"$30,092,063","$27,821,633",92.5%,"$2,270,430",7.5%
62,The Dark Knight Rises 2024 Re-release,"$29,685,650",-,-,"$29,685,650",100%
63,Chantal in Fairyland,"$29,635,142",-,-,"$29,635,142",100%
64,Harold and the Purple Crayon,"$29,200,942","$17,635,576",60.4%,"$11,565,366",39.6%
65,Reagan,"$28,630,094","$28,615,220",99.9%,"$14,874",<0.1%
66,Immaculate,"$28,464,085","$15,671,307",55.1%,"$12,792,778",44.9%
67,The Master and Margarita,"$27,989,335",-,-,"$27,989,335",100%
68,Wicked Little Letters,"$27,263,284","$5,008,179",18.4%,"$22,255,105",81.6%
69,The Ministry of Ungentlemanly Warfare,"$27,044,063","$20,535,053",75.9%,"$6,509,010",24.1%
70,Kalki 2898 AD,"$25,341,218","$18,289,575",72.2%,"$7,051,643",27.8%
71,The Crow,"$23,733,708","$9,275,659",39.1%,"$14,458,049",60.9%
72,My Hero Academia: You're Next,"$23,615,369",-,-,"$23,615,369",100%
73,MaXXXine,"$22,046,302","$15,097,632",68.5%,"$6,948,670",31.5%
74,Mai,"$21,714,524",-,-,"$21,714,524",100%
75,Autumn and the Black Jaguar,"$21,500,872",-,-,"$21,500,872",100%
76,Unsung Hero,"$21,222,038","$20,335,239",95.8%,"$886,799",4.2%
77,Lyod 3,"$20,615,744",-,-,"$20,615,744",100%
78,Ordinary Angels,"$20,571,534","$19,174,421",93.2%,"$1,397,113",6.8%
79,Cabrini,"$20,460,915","$19,512,134",95.4%,"$948,781",4.6%
